t,l_disp,r_disp
8.6,-8.95864505,-8.31298356
8.7,-8.96402975,-8.306224319999998
8.8,-8.969414449999999,-8.29975896
8.9,-8.9750983,-8.29299972
9.0,-8.980483,-8.28624048
9.1,-8.9858677,-8.280069
9.2,-8.9912524,-8.273309759999998
9.3,-8.99693625,-8.26655052
9.4,-9.00232095,-8.259791279999998
9.5,-9.007406499999998,-8.25332592
9.6,-9.0181759,-8.23980744
9.7,-9.02385975,-8.233048199999999
9.8,-9.029543599999998,-8.226582839999999
9.9,-9.035526599999999,-8.22041136
10.0,-9.041509600000001,-8.21423988
10.1,-9.048390049999998,-8.208950040000001
10.2,-9.0558688,-8.2051296
10.3,-9.06035605,-8.20307244
10.4,-9.06095435,-8.20307244
10.5,-9.06155265,-8.20248468
10.6,-9.064245,-8.20130916
10.7,-9.0672365,-8.19983976
10.8,-9.07112545,-8.199252
10.9,-9.075313549999999,-8.199252
11.0,-9.079501650000001,-8.199252
11.1,-9.0845872,-8.199545879999999
11.2,-9.08967275,-8.2007214
11.3,-9.095057449999999,-8.20248468
11.4,-9.10044215,-8.203954079999999
11.5,-9.10582685,-8.2036602
11.6,-9.11121155,-8.20189692
11.7,-9.12317755,-8.193668279999999
11.8,-9.129758849999998,-8.18837844
11.9,-9.136040999999999,-8.1830886
12.0,-9.14232315,-8.176917119999999
12.1,-9.14830615,-8.171039519999999
12.2,-9.1545883,-8.16516192
12.3,-9.160571299999999,-8.15928432
12.4,-9.16685345,-8.153112839999999
12.5,-9.173135599999998,-8.147235239999999
12.6,-9.1791186,-8.14106376
12.7,-9.1851016,-8.13518616
12.8,-9.191383749999998,-8.12930856
12.9,-9.196768449999999,-8.12372484
13.0,-9.2024523,-8.118141119999999
13.1,-9.20514465,-8.1154962
13.2,-9.20933275,-8.11138188
13.3,-9.20933275,-8.11138188
13.4,-9.2096319,-8.11138188
13.5,-9.20933275,-8.11138188
13.6,-9.20753785,-8.11285128
13.7,-9.20514465,-8.1154962
13.8,-9.201854,-8.118435
13.9,-9.19736675,-8.12254932
14.0,-9.1928795,-8.1272514
14.1,-9.18779395,-8.13224736
14.2,-9.18240925,-8.137537199999999
14.3,-9.177024549999999,-8.14253316
14.4,-9.171639849999998,-8.14811688
14.5,-9.166255150000001,-8.15340672
14.6,-9.160571299999999,-8.15869656
14.7,-9.1551866,-8.16428028
14.8,-9.1498019,-8.16957012
14.9,-9.144118050000001,-8.17515384
15.0,-9.13873335,-8.18044368
15.1,-9.13334865,-8.186027399999999
15.2,-9.1276648,-8.19131724
15.3,-9.1222801,-8.19690096
15.4,-9.11659625,-8.2021908
15.5,-9.1055277,-8.213064359999999
15.6,-9.10044215,-8.21806032
15.7,-9.098946399999999,-8.21923584
15.8,-9.1013396,-8.217178679999998
15.9,-9.11180985,-8.207186759999999
16.0,-9.117792849999999,-8.201603039999998
16.1,-9.12377585,-8.195725439999999
16.2,-9.1294597,-8.189847839999999
16.3,-9.13574185,-8.18367636
16.4,-9.14172485,-8.17779876
16.5,-9.14770785,-8.17162728
16.6,-9.15399,-8.16574968
16.7,-9.159973,-8.1595782
16.8,-9.166255150000001,-8.153700599999999
16.9,-9.17223815,-8.147822999999999
17.0,-9.178520299999999,-8.14165152
17.1,-9.184503300000001,-8.135773919999998
17.2,-9.19078545,-8.12960244
17.3,-9.196768449999999,-8.12372484
17.4,-9.2030506,-8.11755336
17.5,-9.2072387,-8.11343904
17.6,-9.2084353,-8.11196964
17.7,-9.20693955,-8.11343904
17.8,-9.2036489,-8.11667172
17.9,-9.200059099999999,-8.120198279999999
18.0,-9.19198205,-8.12813304
18.1,-9.1868965,-8.133129
18.2,-9.181212649999999,-8.1390066
18.3,-9.1761271,-8.14605972
18.4,-9.171939,-8.153700599999999
18.5,-9.1677509,-8.16163536
18.6,-9.166255150000001,-8.16604356
18.7,-9.16206705,-8.17985592
18.8,-9.1593747,-8.18955396
18.9,-9.155784899999999,-8.203366319999999
19.0,-9.15129765,-8.22158688
19.1,-9.1509985,-8.22511344
19.2,-9.15069935,-8.228346120000001
19.3,-9.15069935,-8.233635959999999
19.4,-9.15069935,-8.2418646
19.5,-9.15069935,-8.244215639999998
19.6,-9.15069935,-8.24744832
19.7,-9.1509985,-8.24891772
19.8,-9.15249425,-8.2492116
19.9,-9.158178099999999,-8.24568504
20.0,-9.1641611,-8.24127684
20.1,-9.17044325,-8.23657476
20.2,-9.177024549999999,-8.23128492
20.3,-9.183605850000001,-8.22599508
20.4,-9.19018715,-8.22041136
20.5,-9.196768449999999,-8.215121519999999
20.6,-9.2030506,-8.209243919999999
20.7,-9.2096319,-8.203954079999999
20.8,-9.2156149,-8.19807648
20.9,-9.221897049999999,-8.191904999999998
21.0,-9.2281792,-8.186027399999999
21.1,-9.2341622,-8.17985592
21.2,-9.240444349999999,-8.17397832
21.3,-9.24343585,-8.17074564
21.4,-9.2503163,-8.162517
21.5,-9.2503163,-8.1610476
21.6,-9.2491197,-8.15869656
21.7,-9.247623950000001,-8.156933279999999
21.8,-9.241640949999999,-8.15017404
21.9,-9.23924775,-8.147822999999999
22.0,-9.23146985,-8.14253316
22.1,-9.225486850000001,-8.14076988
22.2,-9.221897049999999,-8.14018212
22.3,-9.20993105,-8.14018212
22.4,-9.200657399999999,-8.14076988
22.5,-9.191383749999998,-8.141945399999999
22.6,-9.18240925,-8.143414799999999
22.7,-9.17343475,-8.145178079999999
22.8,-9.16446025,-8.14694136
22.9,-9.156682349999999,-8.1507618
23.0,-9.1509985,-8.15575776
23.1,-9.1456138,-8.161341479999999
23.2,-9.1396308,-8.1669252
23.3,-9.13394695,-8.17221504
23.4,-9.128263099999998,-8.17779876
23.5,-9.11659625,-8.18955396
23.6,-9.1133056,-8.19249276
23.7,-9.1043311,-8.20130916
23.8,-9.0977498,-8.206599
23.9,-9.090271049999998,-8.21188884
24.0,-9.082194,-8.21600316
24.1,-9.078305049999999,-8.21747256
24.2,-9.06753565,-8.220999119999998
24.3,-9.06095435,-8.22188076
24.4,-9.056766249999999,-8.22011748
24.5,-9.05018495,-8.21747256
24.6,-9.04121045,-8.217178679999998
24.7,-9.037022349999999,-8.217178679999998
24.8,-9.0265521,-8.22041136
24.9,-9.02385975,-8.223350159999999
25.0,-9.013389499999999,-8.230403279999999
25.1,-9.00710735,-8.236280879999999
25.2,-9.00112435,-8.2418646
